Pais,IDH,ExpectativaDeVida ,ExpectativaDeEscolaridade,MediaDeEscolaridade,RendaNacionalBruta
Syrian Arab Republic,0.58,72.06,9.16,5.10,4191.93
Cameroon,0.58,60.33,13.11,6.15,3620.93
Kenya,0.58,61.43,10.70,6.65,4473.57
Congo,0.57,63.52,12.33,6.17,2889.28
Zambia,0.57,61.22,10.93,7.19,3217.77
Solomon Islands,0.56,70.35,10.33,5.71,2481.51
Comoros,0.56,63.42,11.92,5.08,3142.06
Papua New Guinea,0.56,65.35,10.36,4.74,4008.62
Mauritania,0.56,64.36,9.38,4.92,5075.31
Côte d'Ivoire,0.55,58.60,10.68,5.20,5217.45
Tanzania (United Republic of),0.55,66.20,9.22,6.37,2664.33
Pakistan,0.54,66.10,8.66,4.54,4623.71
Togo,0.54,61.62,12.95,5.02,2166.62
Haiti,0.54,63.19,9.70,5.55,2847.50
Nigeria,0.54,52.68,10.13,7.18,4790.28
Rwanda,0.53,66.07,11.23,4.43,2209.80
Benin,0.53,59.82,10.77,4.30,3408.97
Uganda,0.53,62.70,10.15,5.73,2181.44
Lesotho,0.51,53.06,12.04,6.01,2700.44
Malawi,0.51,62.90,12.68,4.49,1465.64
Senegal,0.51,67.09,8.96,2.94,3344.31
Djibouti,0.51,62.30,7.43,4.10,5024.99
Sudan,0.51,65.27,7.95,3.82,3575.19
Madagascar,0.50,64.49,10.13,5.12,1483.52
Gambia,0.50,62.08,9.42,4.64,2172.21
Ethiopia,0.50,64.97,9.65,3.20,2361.07
Eritrea,0.49,66.54,8.06,4.89,1728.74
Guinea-Bissau,0.48,59.65,10.61,3.58,1908.24
Liberia,0.48,60.75,10.42,5.08,1288.74
Congo (Democratic Republic of the),0.48,59.19,9.82,7.02,1076.10
Afghanistan,0.48,61.98,10.26,2.99,1824.19
Sierra Leone,0.48,60.06,9.57,4.58,1621.51
Guinea,0.47,58.89,9.81,2.20,2480.89
Yemen,0.46,63.75,9.10,3.20,1314.27
Burkina Faso,0.45,59.27,9.14,2.11,2117.92
Mozambique,0.45,59.32,10.22,3.20,1198.07
Mali,0.43,58.94,7.42,2.31,2132.63
Burundi,0.43,61.66,10.72,3.13,731.79
Central African Republic,0.40,53.89,8.04,4.33,966.06
Niger,0.40,61.58,6.96,2.12,1239.87
Chad,0.39,52.53,8.04,2.57,1364.17
South Sudan,0.39,54.98,5.54,5.73,767.79
